50 50
A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A
A 1 0 0 1 5 5 5 C 5 5 5 0 1 0 0 1 D 6 D 6 D 6 D 6 3 6 D 6 D 6 D 6 9 8 9 8 9 8 9 8 9 8 9 9 9 8 8 8 A
A 0 0 1 0 5 5 5 C 5 5 5 1 0 0 1 0 6 D 6 D 6 D 6 D 3 D 6 D 6 D 6 D 8 9 8 9 8 5 8 9 8 C 9 9 7 9 8 9 A
A 0 1 0 0 5 5 5 C 5 5 5 0 0 1 0 0 D 6 D 6 D 6 D 6 3 6 D 6 D 6 D 6 9 8 9 8 9 8 9 8 9 9 9 8 9 8 9 8 A
A 1 0 0 1 0 5 5 C 5 5 A A A A A A A A A A A A A A A A A A A A A A A A A A A A A 9 8 9 8 9 8 9 8 9 A
A 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 D 6 D 6 D 6 D 6 3 6 D 6 D 6 D 6 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 A
A 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 6 D 6 D 6 D 6 D 3 D 6 D 6 D 6 D 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 A
A 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 D 6 D 6 D 6 D 6 3 6 D 6 D 6 D 6 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 A
A 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 6 D 6 D 6 D 6 D 3 D 6 D 6 D 6 D 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 A
A 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 6 D 6 D 6 D 6 D 3 D 6 D 6 D 6 D 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 A
A 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 D 6 D 6 D 6 D 6 3 6 D 6 D 6 D 6 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 A
A 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 6 D 6 D 6 D 6 D 3 D 6 D 6 D 6 D 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 A
A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A
